,k,distortions,inertia
0,1,251.49034434818296,4051307.7569500725
1,2,211.11818128152754,2865781.241004621
2,3,180.1188873383297,2371301.8972279746
3,4,173.78790415980555,2174749.323442713
4,5,170.408734000444,2084719.1929883733
5,6,160.44944772640392,1999708.6564877853
6,7,162.93766504552474,1910102.6862637878
7,8,160.56917686561212,1850057.9373344942
8,9,149.744556372989,1748451.3977608664
9,10,142.863022473552,1752438.1424285392
