,k,distortions,inertia
0,1,119.55265888005687,568942.8412530252
1,2,106.93467116402576,480220.42982255475
2,3,102.68134098936744,456850.2350104185
3,4,98.27096808111283,416632.13842258696
4,5,94.17993700588924,394857.9173034253
5,6,89.36576992095912,389960.9100924006
6,7,88.13119443029349,385047.86543290946
7,8,81.03586100456879,337731.93966143084
8,9,78.86635006230746,322208.5605716605
9,10,78.86767323630217,303174.5183959056
